kommune_kode,kommune_navn,slug,grade,composite,kollektiv_kvalitet,bevaegelsesfrihed,bilbehov,bil_skat_kr,tvunget_andel,valgt_andel,gini,p10,cdi,o_pt,o_car,reach_ratio,unserved_pct
746,Skanderborg,dk-skanderborg-0746,E,23.34,5.28,41.39,1.3635,60000,0.3553,0.4265,0.3171,5.08,0.5861,0.7732,2.7702,3.21,28.6
751,Aarhus,dk-aarhus-0751,B,58.95,43.52,74.39,0.1327,0,0.0273,0.5904,0.1146,52.45,0.2561,5.8654,9.4768,1.6,11.6
756,Ikast-Brande,dk-ikast-brande-0756,F,15.99,4.14,27.84,1.7855,120000,0.4988,0.3393,0.6277,0.53,0.7216,0.6213,3.2155,3.73,32.1
760,Ringkøbing-Skjern,dk-ringkoebing-skjern-0760,G,10.75,1.6,19.9,2.1923,120000,0.6521,0.2402,0.5827,0.75,0.801,0.283,2.3451,5.93,39.8
766,Hedensted,dk-hedensted-0766,G,13.76,3.75,23.76,2.0088,120000,0.5811,0.2867,0.5021,2.7,0.7624,0.5689,3.7357,5.12,25.1
773,Morsø,dk-morsoe-0773,G,13.4,1.25,25.56,1.9354,120000,0.5536,0.3045,0.5444,1.88,0.7444,0.2368,1.4318,3.98,9.1
779,Skive,dk-skive-0779,F,21.61,3.69,39.53,1.3923,60000,0.3646,0.421,0.4893,1.66,0.6047,0.5618,2.059,2.92,26.9
787,Thisted,dk-thisted-0787,G,14.59,2.22,26.96,1.8522,120000,0.5229,0.324,0.5668,0.9,0.7304,0.3661,2.0263,3.97,14.9
791,Viborg,dk-viborg-0791,F,19.24,6.25,32.23,1.6309,120000,0.4444,0.3731,0.5762,0.96,0.6777,0.9029,4.0433,3.46,17.2
810,Brønderslev,dk-broenderslev-0810,G,14.2,1.49,26.91,1.8988,120000,0.54,0.3132,0.5235,1.13,0.7309,0.2684,1.5596,3.96,11.6
813,Frederikshavn,dk-frederikshavn-0813,E,22.81,3.01,42.62,1.2771,60000,0.3279,0.4424,0.4341,1.9,0.5738,0.4708,1.5788,2.78,22.5
820,Vesthimmerlands,dk-vesthimmerlands-0820,G,14.81,1.14,28.49,1.8348,120000,0.5166,0.3281,0.4923,1.55,0.7151,0.2216,1.2049,4.03,34
825,Læsø,dk-laesoe-0825,D,33.22,0.0,66.43,0.3984,0,0.0867,0.5664,0.2998,16.42,0.3357,0.0701,0.1321,1.4,20
840,Rebild,dk-rebild-0840,G,14.51,1.66,27.36,1.877,120000,0.532,0.3183,0.5064,1.44,0.7264,0.2914,1.655,3.99,15.1
846,Mariagerfjord,dk-mariagerfjord-0846,F,16.19,1.86,30.52,1.7147,120000,0.4736,0.355,0.5263,1.27,0.6948,0.3185,1.54,3.71,17
849,Jammerbugt,dk-jammerbugt-0849,G,14.33,2.33,26.33,1.7995,120000,0.5038,0.3361,0.6093,0.99,0.7367,0.3798,1.9929,3.94,37.1
851,Aalborg,dk-aalborg-0851,D,40.91,22.73,59.08,0.5868,60000,0.1327,0.5456,0.3404,1.82,0.4092,3.0967,6.5275,1.95,10.4
860,Hjørring,dk-hjoerring-0860,F,20.85,3.25,38.45,1.3698,60000,0.3574,0.4253,0.5218,1.69,0.6155,0.5034,1.8128,2.73,22.4
