kommune_kode,kommune_navn,indicator_id,ratio,raw_value,unit,data_year,source,category,dimension,reference
773,Morsø,selvvurderet_helbred,97.72,80.2,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
219,Hillerød,selvvurderet_helbred,101.26,83.1,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
340,Sorø,selvvurderet_helbred,97.48,80.0,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
492,Ærø,selvvurderet_helbred,99.31,81.5,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
561,Esbjerg,selvvurderet_helbred,96.51,79.2,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
740,Silkeborg,selvvurderet_helbred,99.67,81.8,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
615,Horsens,selvvurderet_helbred,100.77,82.7,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
563,Fanø,selvvurderet_helbred,102.35,84.0,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
316,Holbæk,selvvurderet_helbred,98.21,80.6,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
766,Hedensted,selvvurderet_helbred,100.16,82.2,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
607,Fredericia,selvvurderet_helbred,97.11,79.7,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
410,Middelfart,selvvurderet_helbred,103.21,84.7,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
329,Ringsted,selvvurderet_helbred,97.48,80.0,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
370,Næstved,selvvurderet_helbred,97.85,80.3,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
851,Aalborg,selvvurderet_helbred,100.53,82.5,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
810,Brønderslev,selvvurderet_helbred,98.21,80.6,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
727,Odder,selvvurderet_helbred,99.31,81.5,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
336,Stevns,selvvurderet_helbred,101.38,83.2,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
751,Aarhus,selvvurderet_helbred,102.35,84.0,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
813,Frederikshavn,selvvurderet_helbred,96.51,79.2,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
161,Glostrup,selvvurderet_helbred,98.45,80.8,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
270,Gribskov,selvvurderet_helbred,98.7,81.0,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
860,Hjørring,selvvurderet_helbred,96.75,79.4,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
165,Albertslund,selvvurderet_helbred,94.07,77.2,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
479,Svendborg,selvvurderet_helbred,101.5,83.3,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
791,Viborg,selvvurderet_helbred,101.14,83.0,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
480,Nordfyns,selvvurderet_helbred,98.7,81.0,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
706,Syddjurs,selvvurderet_helbred,101.5,83.3,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
440,Kerteminde,selvvurderet_helbred,96.38,79.1,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
630,Vejle,selvvurderet_helbred,99.31,81.5,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
101,København,selvvurderet_helbred,104.06,85.4,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
730,Randers,selvvurderet_helbred,98.7,81.0,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
760,Ringkøbing-Skjern,selvvurderet_helbred,99.55,81.7,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
430,Faaborg-Midtfyn,selvvurderet_helbred,98.82,81.1,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
320,Faxe,selvvurderet_helbred,94.92,77.9,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
169,Høje-Taastrup,selvvurderet_helbred,100.53,82.5,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
573,Varde,selvvurderet_helbred,100.16,82.2,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
621,Kolding,selvvurderet_helbred,97.85,80.3,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
420,Assens,selvvurderet_helbred,97.36,79.9,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
580,Aabenraa,selvvurderet_helbred,98.82,81.1,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
787,Thisted,selvvurderet_helbred,97.24,79.8,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
756,Ikast-Brande,selvvurderet_helbred,99.31,81.5,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
461,Odense,selvvurderet_helbred,100.77,82.7,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
779,Skive,selvvurderet_helbred,97.72,80.2,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
450,Nyborg,selvvurderet_helbred,98.82,81.1,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
846,Mariagerfjord,selvvurderet_helbred,99.06,81.3,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
820,Vesthimmerlands,selvvurderet_helbred,95.41,78.3,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
540,Sønderborg,selvvurderet_helbred,99.8,81.9,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
400,Bornholm,selvvurderet_helbred,95.9,78.7,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
510,Haderslev,selvvurderet_helbred,98.94,81.2,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
671,Struer,selvvurderet_helbred,95.77,78.6,%,2025,Sundhedsprofilen 2025,social,sundhed,82.068
