kommune_kode,indicator_id,aar,raw_value
492,alkohol,2021,24.2
492,alkohol,2025,20.4
510,alkohol,2010,20.4
510,alkohol,2013,18.6
510,alkohol,2017,15.2
510,alkohol,2021,13.5
510,alkohol,2025,11.6
530,alkohol,2010,17.3
530,alkohol,2013,17.0
530,alkohol,2017,13.7
530,alkohol,2021,12.5
530,alkohol,2025,14.4
540,alkohol,2010,18.7
540,alkohol,2013,16.8
540,alkohol,2017,15.8
540,alkohol,2021,13.4
540,alkohol,2025,11.1
550,alkohol,2010,19.5
550,alkohol,2013,15.7
550,alkohol,2017,13.7
550,alkohol,2021,11.3
550,alkohol,2025,13.3
561,alkohol,2010,21.8
561,alkohol,2013,19.4
561,alkohol,2017,16.7
561,alkohol,2021,14.0
561,alkohol,2025,16.4
563,alkohol,2010,33.1
563,alkohol,2013,30.5
563,alkohol,2017,26.5
563,alkohol,2021,21.5
563,alkohol,2025,25.5
573,alkohol,2010,18.5
573,alkohol,2013,17.7
573,alkohol,2017,13.5
573,alkohol,2021,12.2
573,alkohol,2025,13.3
575,alkohol,2010,16.3
575,alkohol,2013,15.4
575,alkohol,2017,13.0
575,alkohol,2021,10.3
575,alkohol,2025,9.8
580,alkohol,2010,17.4
580,alkohol,2013,17.6
580,alkohol,2017,14.0
580,alkohol,2021,11.9
580,alkohol,2025,13.4
607,alkohol,2010,22.0
607,alkohol,2013,21.6
607,alkohol,2017,14.2
607,alkohol,2021,13.7
607,alkohol,2025,12.3
615,alkohol,2010,23.1
615,alkohol,2013,19.3
615,alkohol,2017,15.1
615,alkohol,2021,14.8
615,alkohol,2025,12.0
621,alkohol,2010,19.9
621,alkohol,2013,19.5
621,alkohol,2017,17.6
621,alkohol,2021,14.8
621,alkohol,2025,12.7
630,alkohol,2010,21.8
630,alkohol,2013,20.1
630,alkohol,2017,16.5
630,alkohol,2021,14.5
630,alkohol,2025,14.6
657,alkohol,2010,23.3
657,alkohol,2013,17.5
657,alkohol,2017,15.9
657,alkohol,2021,16.1
657,alkohol,2025,12.7
661,alkohol,2010,21.9
661,alkohol,2013,16.6
661,alkohol,2017,13.1
661,alkohol,2021,14.4
661,alkohol,2025,14.0
665,alkohol,2010,23.9
665,alkohol,2013,19.0
665,alkohol,2017,15.8
665,alkohol,2021,16.3
665,alkohol,2025,14.3
671,alkohol,2010,23.1
671,alkohol,2013,16.3
671,alkohol,2017,16.7
671,alkohol,2021,16.0
671,alkohol,2025,12.2
706,alkohol,2010,25.0
706,alkohol,2013,20.8
706,alkohol,2017,18.0
706,alkohol,2021,17.4
706,alkohol,2025,17.3
707,alkohol,2010,23.9
707,alkohol,2013,19.0
707,alkohol,2017,16.1
707,alkohol,2021,15.3
707,alkohol,2025,13.5
710,alkohol,2010,21.2
710,alkohol,2013,17.8
710,alkohol,2017,15.5
710,alkohol,2021,14.7
710,alkohol,2025,13.1
727,alkohol,2010,28.0
727,alkohol,2013,19.0
727,alkohol,2017,18.2
727,alkohol,2021,17.3
727,alkohol,2025,14.4
730,alkohol,2010,22.2
730,alkohol,2013,20.0
730,alkohol,2017,15.5
730,alkohol,2021,13.2
730,alkohol,2025,13.0
740,alkohol,2010,23.6
740,alkohol,2013,17.1
740,alkohol,2017,14.5
740,alkohol,2021,13.7
740,alkohol,2025,12.4
741,alkohol,2010,28.7
741,alkohol,2013,24.1
741,alkohol,2017,22.2
741,alkohol,2021,20.8
741,alkohol,2025,17.4
746,alkohol,2010,24.0
746,alkohol,2013,19.8
746,alkohol,2017,16.3
746,alkohol,2021,16.8
746,alkohol,2025,13.1
751,alkohol,2010,29.5
751,alkohol,2013,24.4
751,alkohol,2017,19.0
751,alkohol,2021,16.3
751,alkohol,2025,14.6
756,alkohol,2010,20.5
756,alkohol,2013,17.2
756,alkohol,2017,15.1
756,alkohol,2021,14.0
756,alkohol,2025,12.3
760,alkohol,2010,22.5
760,alkohol,2013,17.2
760,alkohol,2017,14.4
760,alkohol,2021,14.9
760,alkohol,2025,14.6
766,alkohol,2010,21.1
766,alkohol,2013,18.3
766,alkohol,2017,14.1
766,alkohol,2021,15.1
766,alkohol,2025,14.2
773,alkohol,2010,18.2
773,alkohol,2013,16.1
773,alkohol,2017,12.3
773,alkohol,2021,12.0
773,alkohol,2025,11.3
779,alkohol,2010,21.9
779,alkohol,2013,19.2
779,alkohol,2017,15.0
779,alkohol,2021,13.8
779,alkohol,2025,14.2
787,alkohol,2010,19.2
787,alkohol,2013,16.1
787,alkohol,2017,13.7
787,alkohol,2021,13.0
787,alkohol,2025,10.6
791,alkohol,2010,21.6
791,alkohol,2013,16.2
791,alkohol,2017,13.5
791,alkohol,2021,12.1
791,alkohol,2025,11.8
810,alkohol,2010,18.8
810,alkohol,2013,15.4
810,alkohol,2017,12.2
810,alkohol,2021,11.7
810,alkohol,2025,9.2
813,alkohol,2010,20.9
813,alkohol,2013,17.9
813,alkohol,2017,14.3
813,alkohol,2021,13.8
813,alkohol,2025,12.5
820,alkohol,2010,18.8
820,alkohol,2013,17.0
820,alkohol,2017,13.3
820,alkohol,2021,13.4
820,alkohol,2025,11.1
825,alkohol,2010,21.6
825,alkohol,2013,20.2
825,alkohol,2017,21.7
825,alkohol,2021,19.8
825,alkohol,2025,19.8
840,alkohol,2010,17.5
840,alkohol,2013,16.7
840,alkohol,2017,14.6
840,alkohol,2021,12.9
840,alkohol,2025,10.6
846,alkohol,2010,20.2
846,alkohol,2013,17.9
846,alkohol,2017,13.3
846,alkohol,2021,13.3
846,alkohol,2025,11.6
849,alkohol,2010,19.7
849,alkohol,2013,16.2
849,alkohol,2017,13.8
849,alkohol,2021,13.2
849,alkohol,2025,11.0
851,alkohol,2010,24.1
851,alkohol,2013,19.4
851,alkohol,2017,16.2
851,alkohol,2021,12.6
851,alkohol,2025,12.7
860,alkohol,2010,20.8
860,alkohol,2013,17.5
860,alkohol,2017,14.3
860,alkohol,2021,12.5
860,alkohol,2025,11.0
101,ensomhed,2021,14.3
101,ensomhed,2025,12.9
147,ensomhed,2021,13.0
147,ensomhed,2025,10.3
151,ensomhed,2021,12.7
151,ensomhed,2025,11.8
