kommune_kode,kommune_navn,life_expectancy_ratio,education_ratio,disposable_income_ratio,employment_ratio,child_poverty_ratio,gini_ratio,low_income_ratio,vacant_housing_ratio,kultur_spending_ratio,civil_society_ratio,life_expectancy_raw,education_raw,disposable_income_raw,employment_raw,child_poverty_raw,gini_raw,low_income_raw,vacant_housing_raw,kultur_spending_raw,civil_society_raw,social_avg,ecological_avg,overall_avg
787,Thisted,98.9,83.48,87.92,100.65,102.38,115.18,115.15,53.25,91.49,97.3,80.7,79.31,252934.0,77.9,4.2,26.42,3.3,11.53,462.0,72.0,94.57,,94.57
420,Assens,99.02,85.27,87.87,98.58,95.56,124.41,115.15,81.0,91.49,66.22,80.8,81.01,252783.0,76.3,4.5,24.46,3.3,7.58,462.0,49.0,94.46,,94.46
756,Ikast-Brande,100.12,86.95,92.39,99.48,113.16,113.16,108.57,94.9,38.81,94.59,81.7,82.6,265794.0,77.0,3.8,26.89,3.5,6.47,196.0,70.0,94.21,,94.21
461,Odense,99.88,93.58,89.66,94.57,70.49,107.45,74.51,113.7,144.95,47.3,81.5,88.9,257928.0,73.2,6.1,28.32,5.1,5.4,732.0,35.0,93.61,,93.61
779,Skive,99.88,84.17,89.99,100.78,91.49,114.83,115.15,63.76,91.29,79.73,81.5,79.96,258877.0,78.0,4.7,26.5,3.3,9.63,461.0,59.0,93.11,,93.11
450,Nyborg,99.63,85.71,89.14,95.87,81.13,121.72,102.7,104.6,75.45,70.27,81.3,81.42,256450.0,74.2,5.3,25.0,3.7,5.87,381.0,52.0,92.62,,92.62
846,Mariagerfjord,99.75,84.8,91.15,99.61,93.48,117.13,105.56,65.32,89.9,77.03,81.4,80.56,262216.0,77.1,4.6,25.98,3.6,9.4,454.0,57.0,92.37,,92.37
540,Sønderborg,100.12,85.51,88.89,95.87,71.67,110.9,95.0,90.16,93.07,82.43,81.7,81.23,255717.0,74.2,6.0,27.44,4.0,6.81,470.0,61.0,91.36,,91.36
820,Vesthimmerlands,99.14,81.81,88.02,99.61,93.48,115.27,111.76,54.34,48.51,121.62,80.9,77.72,253230.0,77.1,4.6,26.4,3.4,11.3,245.0,90.0,91.36,,91.36
400,Bornholm,99.14,83.14,84.44,96.25,93.48,126.63,126.67,52.34,96.04,52.7,80.9,78.98,242923.0,74.5,4.6,24.03,3.0,11.73,485.0,39.0,91.08,,91.08
510,Haderslev,100.0,80.95,87.26,98.71,69.35,116.15,90.48,81.87,127.52,52.7,81.6,76.9,251031.0,76.4,6.2,26.2,4.2,7.5,644.0,39.0,90.5,,90.5
665,Lemvig,99.75,87.15,94.96,102.2,100.0,101.81,135.71,40.61,80.79,56.76,81.4,82.79,273175.0,79.1,4.3,29.89,2.8,15.12,408.0,42.0,89.97,,89.97
575,Vejen,100.25,86.14,125.5,104.01,122.86,65.7,126.67,96.54,35.05,36.49,81.8,81.83,361047.0,80.5,3.5,46.32,3.0,6.36,177.0,27.0,89.92,,89.92
671,Struer,99.26,85.36,88.53,98.84,82.69,112.33,111.76,60.49,102.57,56.76,81.0,81.09,254689.0,76.5,5.2,27.09,3.4,10.15,518.0,42.0,89.86,,89.86
707,Norddjurs,99.14,85.03,86.73,97.03,86.0,120.09,102.7,65.32,80.0,64.86,80.9,80.78,249494.0,75.1,5.0,25.34,3.7,9.4,404.0,48.0,88.69,,88.69
330,Slagelse,98.65,83.24,89.38,97.03,62.32,119.85,76.0,95.34,73.66,82.43,80.5,79.08,257137.0,75.1,6.9,25.39,5.0,6.44,372.0,61.0,87.79,,87.79
306,Odsherred,98.53,77.26,86.99,95.35,72.88,120.85,100.0,66.16,75.45,79.73,80.4,73.4,250261.0,73.8,5.9,25.18,3.8,9.28,381.0,59.0,87.32,,87.32
376,Guldborgsund,97.3,80.82,85.55,95.22,59.72,118.68,77.55,62.78,97.43,85.14,79.4,76.78,246113.0,73.7,7.2,25.64,4.9,9.78,492.0,63.0,86.02,,86.02
326,Kalundborg,98.41,82.96,94.87,97.42,71.67,113.12,102.7,74.24,60.79,62.16,80.3,78.81,272926.0,75.4,6.0,26.9,3.7,8.27,307.0,46.0,85.83,,85.83
849,Jammerbugt,99.63,84.75,88.48,100.13,93.48,118.17,108.57,49.32,62.18,52.7,81.3,80.51,254538.0,77.5,4.6,25.75,3.5,12.45,314.0,39.0,85.74,,85.74
390,Vordingborg,97.92,83.08,88.27,96.51,69.35,117.76,90.48,56.9,83.17,56.76,79.9,78.93,253932.0,74.7,6.2,25.84,4.2,10.79,420.0,42.0,84.02,,84.02
550,Tønder,98.77,82.03,86.61,97.55,71.67,106.36,88.37,46.69,79.01,79.73,80.6,77.93,249158.0,75.5,6.0,28.61,4.3,13.15,399.0,59.0,83.68,,83.68
360,Lolland,96.32,71.91,81.84,89.41,60.56,115.05,82.61,38.74,81.98,94.59,78.6,68.31,235450.0,69.2,7.1,26.45,4.6,15.85,414.0,70.0,81.3,,81.3
741,Samsø,,93.99,86.5,100.9,97.73,115.27,105.56,17.23,40.59,52.7,,89.29,248849.0,78.1,4.4,26.4,3.6,35.63,205.0,39.0,78.94,,78.94
482,Langeland,99.26,80.56,79.65,91.73,58.11,120.42,95.0,22.78,69.7,25.68,81.0,76.53,229128.0,71.0,7.4,25.27,4.0,26.95,352.0,19.0,74.29,,74.29
