kommune_kode,selvvurderet_helbred_pct,selvvurderet_helbred_ratio,mentalt_helbred_pct,mentalt_helbred_ratio,rygning_pct,rygning_ratio,alkohol_pct,alkohol_ratio,fysisk_aktivitet_pct,fysisk_aktivitet_ratio,kost_pct,kost_ratio,svaer_overvaegt_pct,svaer_overvaegt_ratio,ensomhed_pct,ensomhed_ratio,social_stoette_pct,social_stoette_ratio,selvvurderet_helbred_ref,mentalt_helbred_ref,rygning_ref,alkohol_ref,fysisk_aktivitet_ref,kost_ref,svaer_overvaegt_ref,ensomhed_ref,social_stoette_ref
167,81.1,98.82,16.7,95.39,11.4,91.84,11.6,123.94,54.2,94.88,18.7,98.32,19.2,95.99,11.6,93.1,4.9,106.19,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
169,82.5,100.53,16.8,94.82,12.1,86.53,11.2,128.36,53.3,96.48,17.8,103.29,21.3,86.53,14.5,74.48,6.3,82.59,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
173,86.5,105.4,12.9,123.48,5.1,150,15.5,92.75,43.8,117.41,9.1,150,11.2,150,9.2,117.38,4.3,121.01,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
175,83.6,101.87,14.5,109.86,9.4,111.38,13.5,106.49,49.9,103.06,15.6,117.85,16.6,111.03,9.4,114.89,6.1,85.3,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
183,78.1,95.16,18.9,84.28,17.4,60.17,10.6,135.63,56.8,90.54,20.5,89.68,22.2,83.02,14.0,77.14,9.1,57.18,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
185,80.7,98.33,15.4,103.44,10.7,97.85,15.7,91.57,50.8,101.23,21.0,87.55,17.1,107.78,9.5,113.68,5.5,94.61,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
187,86.9,105.89,13.9,114.6,9.3,112.58,11.5,125.01,49.1,104.73,16.3,112.79,16.3,113.07,9.9,109.08,5.2,100.06,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
190,85.7,104.42,13.7,116.27,7.0,149.57,15.6,92.16,44.7,115.04,10.0,150,13.0,141.77,9.7,111.33,4.9,106.19,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
201,85.5,104.18,11.1,143.51,5.1,150,17.0,84.57,46.0,111.79,11.7,150,13.0,141.77,7.4,145.94,3.1,150,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
210,82.6,100.65,14.8,107.63,8.0,130.87,16.0,89.85,50.8,101.23,12.3,149.47,15.6,118.14,8.6,125.57,5.0,104.07,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
217,81.3,99.06,15.0,106.2,10.6,98.77,18.3,78.56,48.5,106.03,14.0,131.32,15.4,119.68,8.8,122.72,3.3,150,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
219,83.1,101.26,17.0,93.7,7.7,135.97,13.3,108.09,51.2,100.44,15.1,121.76,18.2,101.27,11.7,92.3,5.3,98.18,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
223,85.1,103.69,10.3,150,6.8,150,20.8,69.12,47.9,107.36,10.8,150,10.1,150,7.8,138.45,4.2,123.89,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
230,87.5,106.62,12.5,127.43,5.3,150,16.9,85.07,45.3,113.52,8.8,150,9.2,150,7.1,150,5.0,104.07,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
240,85.4,104.06,13.8,115.43,7.4,141.49,13.2,108.91,51.1,100.64,17.6,104.46,17.6,104.72,8.0,134.99,3.4,150,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
250,78.9,96.14,15.2,104.8,11.2,93.48,17.1,84.07,56.3,91.34,19.1,96.26,20.5,89.91,10.8,99.99,6.0,86.72,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
253,81.9,99.79,16.5,96.54,9.9,105.76,13.7,104.94,54.7,94.01,19.2,95.76,17.5,105.32,11.0,98.18,6.3,82.59,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
259,80.2,97.72,15.3,104.11,10.7,97.85,13.1,109.74,53.8,95.59,18.8,97.79,20.5,89.91,9.5,113.68,4.2,123.89,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
260,76.2,92.85,15.9,100.18,14.0,74.79,17.8,80.77,58.5,87.91,21.6,85.12,23.0,80.13,11.1,97.29,5.2,100.06,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
265,82.9,101.01,17.3,92.08,8.1,129.26,15.0,95.84,49.9,103.06,14.8,124.22,15.8,116.65,11.6,93.1,3.4,150,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
269,82.3,100.28,14.1,112.97,8.8,118.98,16.4,87.66,49.7,103.47,18.5,99.38,15.6,118.14,8.6,125.57,4.2,123.89,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
270,81.0,98.7,14.6,109.11,9.9,105.76,15.8,90.99,52.8,97.4,18.7,98.32,16.7,110.36,9.6,112.49,5.3,98.18,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
306,77.7,94.68,13.1,121.6,14.3,73.22,15.3,93.96,61.9,83.08,24.4,75.35,24.1,76.48,10.8,99.99,5.2,100.06,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
316,80.6,98.21,16.4,97.13,12.9,81.16,13.9,103.43,56.5,91.02,20.5,89.68,20.6,89.47,12.5,86.39,5.6,92.92,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
320,77.9,94.92,17.1,93.15,12.2,85.82,15.7,91.57,62.3,82.54,21.9,83.95,25.3,72.85,12.3,87.8,4.2,123.89,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
326,76.5,93.21,17.8,89.49,14.2,73.73,12.0,119.8,60.6,84.86,21.7,84.72,24.8,74.32,14.1,76.59,6.0,86.72,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
329,80.0,97.48,14.4,110.62,12.1,86.53,13.0,110.59,59.7,86.14,22.6,81.35,24.8,74.32,11.6,93.1,6.9,75.41,82.0685,15.9294,10.47,14.3766,51.4248,18.3852,18.4306,10.7994,5.2033
